"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"RX_IIP_CAL_B11_MRX_HB1","IM2_CAL",54040000,5,"GE","LE",100,"dB",,,,,,5404,"RX_IIP_CAL_B11_MRX_HB1_FAILED",5,"RX_FAILED",,,,
"RX_IR_B1_DRX_HB4","IR",54210000,30,"GE","LE",89,"dB",,,,,,5421,"RX_IR_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_NF_B1_TXFB_1","NoiseFigure_I",54590000,0.01,"GE","LE",80,"dB",,,,,,5459,"RX_NF_B1_TXFB_1_FAILED",5,"RX_FAILED",,,,
"RX_NF_B1_TXFB_1","NoiseFigure_Q",54590001,0.01,"GE","LE",80,"dB",,,,,,5459,"RX_NF_B1_TXFB_1_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","TEST1_I",54910000,0.8,"GE","LE",1.5,"V",,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","TEST1_Q",54910001,0.8,"GE","LE",1.5,"V",,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","TEST2_I",54910002,0.8,"GE","LE",1.5,"V",,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","TEST2_Q",54910003,0.8,"GE","LE",1.5,"V",,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","PatResult_I",54910004,1,"GE","LE",1,,,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"RX_PLLLOCK_B1_DRX_HB4","PatResult_Q",54910005,1,"GE","LE",1,,,,,,,5491,"RX_PLLLOCK_B1_DRX_HB4_FAILED",5,"RX_FAILED",,,,
"TX_ACLR_3G_B1_TX_HB2","ChannelPower",60100000,4,"GE","LE",15,"dBm",,,,,,6010,"TX_ACLR_3G_B1_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_3G_B1_TX_HB2","AclrUpper_H",60100001,-70,"GE","LE",-40,"dB",,,,,,6010,"TX_ACLR_3G_B1_TX_HB2_FAILED",6,"TX_FAILED",,,,
