//  TRX,  INT,   STRING, STRING,      INT,double,#   STRING,   int, double_Ary, double_Ary,double_Ary,double_Ary,double_Ary,STRING,string
//RX|TX,mBand,port_name,BB_Path,RXPLL_sel,inLoss,#  test_Type, burst,       pow1,       pow2,     freq1,     freq2,  baseband, mType,mGainReg,,
,
RX,11,DRX_HB1,B,2,0
,,,,,,,,IIP2_OB_3G-SC,3G-SC,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,,,IIP2_OB_3G-DC,3G-DC,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,,,IIP2_OB_4G_1.4M,4G-1.4MHz,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,,,IIP2_OB_4G_5M,4G-5MHz,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,,,IIP2_OB_4G_10M,4G-10MHz,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,,,IIP2_OB_4G_20M,4G-20MHz,-30,,1438e6,1437.9e6,0.1,0x8080
,,,,,,GAIN,11,GAIN_3G-SC_MAX,3G-SC,-70,,1486e6,1485.9e6,0.1,0x0
,,,,,,,,GSTEP_3G-SC_LNA_3DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x1010
,,,,,,,,GSTEP_3G-SC_LNA_6DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x2020
,,,,,,,,GSTEP_3G-SC_LNA_12DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x3030
,,,,,,,,GSTEP_3G-SC_LNA_18DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x4040
,,,,,,,,GSTEP_3G-SC_LNA_24DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x5050
,,,,,,,,GSTEP_3G-SC_LNA_30DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x6060
,,,,,,,,GSTEP_3G-SC_LNA_42DB,3G-SC,-70,,1486e6,1485.9e6,0.1,0x7070
,,,,,,,,GAIN_2G_AGC1,2G,-70,,1486e6,1485.9e6,0.1,0x0
,,,,,,,,GAIN_3G-SC_AGC1,3G-SC,-70,,1486e6,1485.9e6,0.1,0x101
,,,,,,,,GAIN_4G_AGC1,4G-10M,-70,,1486e6,1485.9e6,0.1,0x303
,,,,,,NF,1,NF_3G-SC,3G-SC,-70,,1486e6,23,0.1,2
,,,,,,EVM,2,EVMrms_3G-SC,3G-SC,-28,,1485.9e6,23,0.1,2
,,,,,,,,EVMpeak_3G-SC,3G-SC,-28,,1485.9e6,23,0.1,2
,,,,,,IR,1,IR_3G-SC,3G-SC,-28,,1486e6,23,0.1,2
,,,,,,DCOS,3,VDCOS_3G_SC_UNCAL,3G-SC,,,23,23,0,2
,,,,,,,,VDCOS_3G_SC_CAL,3G-SC,,,23,23,0,2
,,,,,,,,VDCOS_3G_SC_CALRANGE,3G-SC,,,23,23,0,2
,,,,,,IIP_CAL3,1,IIP2_OB_CAL_3G,3G-SC,-30,,1438e6,1437.9e6,0.1,0
,,,,,,IIP_CAL9,1,IIP2_OB_CAL_3G,3G-SC,-30,,1438e6,1437.9e6,0.1,0
RX,7,TXFB_1,A,2,0
,,,,,,GAINSWEEP,41,APCSweep,,-30,,2535.1e6,,0.1,0x0
,,,,,,,,,,10,,,,0.1,
,,,,,,,,,,1,,,,0.1,
,,,,,,GAIN,3,GAIN,3G-SC,4,,2535.1e6,,0.1,
,,,,,,,,GAIN_MID,3G-SC,4,,2535.1e6,,0.1,
,,,,,,,,GAIN_MIN,3G-SC,4,,2535.1e6,,0.1,
,,,,,,NF,1,NF_3G-SC,3G-SC,4,,2535.1e6,0,0.1,2
,,,,,,IIP,3,IIP3_IB_3G,3G-SC,1,,2527e6,2525e6,6,0
,,,,,,,,IIP2_IB_4G_20M,4G-20M,1,,2527e6,2525e6,2,0
,,,,,,,,IIP3_OOB_3G,3G-SC,4,,2526e6,2545e6,8,0
,,,,,,DCOS,3,VDCOS_3G_SC_UNCAL,3G-SC,,,18,18,0,2
,,,,,,,,VDCOS_3G_SC_CAL,3G-SC,,,18,18,0,2
,,,,,,,,VDCOS_3G_SC_CALRANGE,3G-SC,,,18,18,0,2
,,,,,,EVM,2,EVMrms_4G-10M,4G-10M,4,,2535e6,18,0.1,2
,,,,,,,,EVMpeak_4G-10M,4G-10M,-4,,2535e6,18,0.1,2
,,,,,,IR,1,IR_3G-SC,3G-SC,4,,2535.1e6,18,0.1,2
RX,7,MRX_HB6,C,1,0
,,,,,,IIP,9,IIP3_IB_4G_10M,4G-10MHz,-50,,2642.4e6,2630e6,0.2,0x8383
,,,,,,,,IIP3_IB_4G_20M,4G-20MHz,-50,,2637.4e6,2620e6,0.2,0x8383
,,,,,,,,IIP3_IB_4G_40M,4G-40MHz,-50,,2627.4e6,2600e6,0.2,0xa3a3
,,,,,,,,IIP3_OB_HDUP_4G_20M,4G-20MHz,-30,,2595.1e6,2535e6,0.2,0x8383
,,,,,,,,IIP3_OB_HDUP_4G_40M,4G-40MHz,-30,,2595.1e6,2535e6,0.2,0x8383
,,,,,,,,IIP3_OB_2DUP_4G_20M,4G-20MHz,-30,,2415.1e6,2535e6,0.1,0x8383
,,,,,,,,IIP3_OB_2DUP_4G_40M,4G-40MHz,-30,,2415.1e6,2535e6,0.1,0x8383
,,,,,,,,IIP2_OB_4G_1.4M,4G-1.4MHz,-30,,2535.1e6,2535e6,0.1,0x8080
,,,,,,,,IIP2_OB_4G_10M,4G-10MHz,-30,,2535.1e6,2535e6,0.1,0x8080
,,,,,,GSTEP_VGA,12,GSTEP_3G-SC_VGA_2DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x101
,,,,,,,,GSTEP_3G-SC_VGA_4DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x202
,,,,,,,,GSTEP_3G-SC_VGA_6DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x303
,,,,,,,,GSTEP_3G-SC_VGA_8DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x404
,,,,,,,,GSTEP_3G-SC_VGA_10DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x505
,,,,,,,,GSTEP_3G-SC_VGA_12DB,3G-SC,-70,,2655.1e6,2655e6,0.1,0x606
