//  TRX,STRING,  INT,STRING,#   STRING,     double,   INT,STRING_Ary,STRING_Ary,double_Ary,double_Ary,double_Ary,STRING_Ary,
//RX|TX,mStand,mBand, mPort,#test_Type,input_mVrms,mBurst,     mFreq,     mMode, measPower,      frq1,   BB_freq,mGainReg,,
TX,4G,2,TXRF_HB1,
,,,,,,,M,Max,8,712.0e6,4.5e6,4,2,
,,,,POWER,141,4,M,Max,8,712.0e6,4.5e6,4,2
,,,,,,,3LO,Max,8,2118.0e6,4.5e6,4,2,
,,,,,,,M,Mid,8,712.0e6,4.5e6,4,6,
,,,,,,,M,Min,-20,712.0e6,4.5e6,31,16,
,,,,POWER_8PHASE,141,4,M,Max,8,712.0e6,4.5e6,4,2
,,,,,,,3LO,Max,8,2118.0e6,4.5e6,4,2,
,,,,,,,M,Mid,8,712.0e6,4.5e6,4,6,
,,,,,,,M,Min,-20,712.0e6,4.5e6,31,16,
$end
